epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,9700.3,1.15218,0.4298,1.24258,0.98984,0.9883,0.99423,0.72552,1.16167,0.43099,1.1557,8.36e-05,8.36e-05,8.36e-05
137,9770.36,1.14996,0.43034,1.24314,0.98911,0.9883,0.99424,0.72546,1.16154,0.4317,1.15562,7.82933e-05,7.82933e-05,7.82933e-05
138,9842.17,1.15448,0.42886,1.24276,0.9904,0.98802,0.99424,0.72666,1.16109,0.43153,1.15525,7.29867e-05,7.29867e-05,7.29867e-05
139,9913.34,1.14937,0.42912,1.24882,0.9904,0.98788,0.99424,0.72721,1.16115,0.43106,1.15496,6.768e-05,6.768e-05,6.768e-05
140,9984.25,1.14464,0.42632,1.22889,0.99094,0.98852,0.99439,0.72803,1.16017,0.43079,1.15474,6.23733e-05,6.23733e-05,6.23733e-05
141,10055.2,1.14383,0.42794,1.23589,0.99094,0.98849,0.99442,0.72828,1.1599,0.43076,1.15441,5.70667e-05,5.70667e-05,5.70667e-05
142,10126.2,1.14326,0.42681,1.23591,0.99093,0.98836,0.99444,0.72894,1.15924,0.43064,1.15432,5.176e-05,5.176e-05,5.176e-05
143,10197.4,1.1336,0.42207,1.23527,0.99147,0.98874,0.99443,0.72865,1.15937,0.43096,1.15443,4.64533e-05,4.64533e-05,4.64533e-05
144,10268.4,1.13775,0.42483,1.23093,0.99011,0.98723,0.99424,0.72862,1.15945,0.43074,1.15443,4.11467e-05,4.11467e-05,4.11467e-05
145,10339.9,1.13675,0.4259,1.23503,0.98993,0.98723,0.99424,0.72916,1.15916,0.43056,1.15439,3.584e-05,3.584e-05,3.584e-05
146,10410.7,1.13197,0.42321,1.22981,0.98987,0.98748,0.99426,0.72964,1.15876,0.43082,1.1541,3.05333e-05,3.05333e-05,3.05333e-05
147,10482.6,1.13147,0.42213,1.23293,0.9904,0.98793,0.99441,0.72997,1.15906,0.43171,1.15428,2.52267e-05,2.52267e-05,2.52267e-05
148,10552.9,1.13116,0.42086,1.23059,0.9904,0.98805,0.99441,0.73032,1.1587,0.43125,1.15414,1.992e-05,1.992e-05,1.992e-05
149,10621.6,1.13197,0.42157,1.22741,0.9904,0.98805,0.9944,0.7302,1.1589,0.43089,1.15426,1.46133e-05,1.46133e-05,1.46133e-05
150,10690.5,1.13115,0.42137,1.2318,0.9904,0.98817,0.9944,0.73019,1.15851,0.43063,1.15414,9.30667e-06,9.30667e-06,9.30667e-06
